system,benchmark,task_id,repeat,passed,prompt_tokens,completion_tokens,total_tokens,latency_seconds,eval_error
harmonet_v2,humaneval,HumanEval/0,1,True,94,89,183,2.015,
harmonet_v2,humaneval,HumanEval/0,2,True,94,89,183,1.7979,
harmonet_v2,humaneval,HumanEval/0,3,True,94,89,183,1.5566,
harmonet_v2,humaneval,HumanEval/1,1,True,131,182,313,2.7971,
harmonet_v2,humaneval,HumanEval/1,2,True,131,182,313,2.2021,
harmonet_v2,humaneval,HumanEval/1,3,True,131,182,313,2.1989,
harmonet_v2,humaneval,HumanEval/2,1,True,93,66,159,1.4435,
harmonet_v2,humaneval,HumanEval/2,2,True,93,66,159,1.5029,
harmonet_v2,humaneval,HumanEval/2,3,True,93,66,159,1.7203,
harmonet_v2,humaneval,HumanEval/3,1,True,124,115,239,1.6842,
harmonet_v2,humaneval,HumanEval/3,2,True,124,115,239,1.7514,
harmonet_v2,humaneval,HumanEval/3,3,True,124,115,239,1.699,
harmonet_v2,humaneval,HumanEval/4,1,True,113,100,213,1.7727,
harmonet_v2,humaneval,HumanEval/4,2,True,113,100,213,1.4667,
harmonet_v2,humaneval,HumanEval/4,3,True,113,100,213,1.6501,
harmonet_v2,humaneval,HumanEval/5,1,True,87,84,171,1.6652,
harmonet_v2,humaneval,HumanEval/5,2,True,87,84,171,1.7714,
harmonet_v2,humaneval,HumanEval/5,3,True,87,84,171,1.9998,
harmonet_v2,humaneval,HumanEval/6,1,True,114,135,249,2.2263,
harmonet_v2,humaneval,HumanEval/6,2,True,114,135,249,1.965,
harmonet_v2,humaneval,HumanEval/6,3,True,114,135,249,2.1085,
harmonet_v2,humaneval,HumanEval/7,1,True,85,66,151,1.4384,
harmonet_v2,humaneval,HumanEval/7,2,True,85,66,151,1.3661,
harmonet_v2,humaneval,HumanEval/7,3,True,85,66,151,1.6827,
harmonet_v2,humaneval,HumanEval/8,1,True,115,104,219,1.6706,
harmonet_v2,humaneval,HumanEval/8,2,True,115,104,219,1.5533,
harmonet_v2,humaneval,HumanEval/8,3,True,115,104,219,1.8902,
harmonet_v2,humaneval,HumanEval/9,1,True,96,91,187,1.6006,
harmonet_v2,humaneval,HumanEval/9,2,True,96,91,187,1.7271,
harmonet_v2,humaneval,HumanEval/9,3,True,96,91,187,1.7547,
harmonet_v2,humaneval,HumanEval/10,1,True,137,167,304,2.486,
harmonet_v2,humaneval,HumanEval/10,2,True,137,184,321,2.6256,
harmonet_v2,humaneval,HumanEval/10,3,True,137,166,303,2.289,
harmonet_v2,humaneval,HumanEval/11,1,True,91,71,162,1.6952,
harmonet_v2,humaneval,HumanEval/11,2,True,91,71,162,1.5597,
harmonet_v2,humaneval,HumanEval/11,3,True,91,71,162,1.993,
harmonet_v2,humaneval,HumanEval/12,1,True,106,84,190,2.4891,
harmonet_v2,humaneval,HumanEval/12,2,True,106,84,190,1.3569,
harmonet_v2,humaneval,HumanEval/12,3,True,106,84,190,1.3906,
harmonet_v2,humaneval,HumanEval/13,1,True,71,53,124,2.8941,
harmonet_v2,humaneval,HumanEval/13,2,True,71,53,124,1.6318,
harmonet_v2,humaneval,HumanEval/13,3,True,71,53,124,1.4709,
harmonet_v2,humaneval,HumanEval/14,1,True,72,52,124,1.3702,
harmonet_v2,humaneval,HumanEval/14,2,True,72,52,124,1.6344,
harmonet_v2,humaneval,HumanEval/14,3,True,72,52,124,1.6623,
harmonet_v2,humaneval,HumanEval/15,1,True,74,53,127,2.2739,
harmonet_v2,humaneval,HumanEval/15,2,True,74,53,127,2.0447,
harmonet_v2,humaneval,HumanEval/15,3,True,74,53,127,1.5735,
harmonet_v2,humaneval,HumanEval/16,1,True,72,42,114,1.4819,
harmonet_v2,humaneval,HumanEval/16,2,True,72,42,114,1.5258,
harmonet_v2,humaneval,HumanEval/16,3,True,72,42,114,1.5702,
harmonet_v2,humaneval,HumanEval/17,1,True,158,150,308,1.8532,
harmonet_v2,humaneval,HumanEval/17,2,True,158,150,308,1.9332,
harmonet_v2,humaneval,HumanEval/17,3,True,158,150,308,1.8998,
harmonet_v2,humaneval,HumanEval/18,1,True,84,91,175,1.8022,
harmonet_v2,humaneval,HumanEval/18,2,True,84,91,175,1.6348,
harmonet_v2,humaneval,HumanEval/18,3,True,84,91,175,2.5391,
harmonet_v2,humaneval,HumanEval/19,1,True,104,140,244,2.0686,
harmonet_v2,humaneval,HumanEval/19,2,True,104,140,244,2.0129,
harmonet_v2,humaneval,HumanEval/19,3,True,104,140,244,2.0895,
harmonet_v2,mbpp,mbpp_2,1,True,316,246,562,4.3611,
harmonet_v2,mbpp,mbpp_2,2,True,311,237,548,5.6032,
harmonet_v2,mbpp,mbpp_2,3,True,316,253,569,6.9185,
harmonet_v2,mbpp,mbpp_3,1,True,65,96,161,1.7614,
harmonet_v2,mbpp,mbpp_3,2,True,65,96,161,1.5956,
harmonet_v2,mbpp,mbpp_3,3,True,65,96,161,1.6391,
harmonet_v2,mbpp,mbpp_4,1,True,115,36,151,1.8446,
harmonet_v2,mbpp,mbpp_4,2,True,115,62,177,2.3074,
harmonet_v2,mbpp,mbpp_4,3,True,115,62,177,1.624,
harmonet_v2,mbpp,mbpp_6,1,True,78,163,241,2.4961,
harmonet_v2,mbpp,mbpp_6,2,True,78,178,256,2.7712,
harmonet_v2,mbpp,mbpp_6,3,True,78,148,226,2.4202,
harmonet_v2,mbpp,mbpp_7,1,True,337,264,601,4.222,
harmonet_v2,mbpp,mbpp_7,2,True,331,273,604,4.1258,
harmonet_v2,mbpp,mbpp_7,3,True,331,274,605,4.0404,
harmonet_v2,mbpp,mbpp_8,1,True,85,62,147,1.8783,
harmonet_v2,mbpp,mbpp_8,2,True,85,62,147,1.6339,
harmonet_v2,mbpp,mbpp_8,3,True,85,66,151,2.4429,
harmonet_v2,mbpp,mbpp_9,1,True,80,297,377,3.4905,
harmonet_v2,mbpp,mbpp_9,2,True,80,221,301,3.6003,
harmonet_v2,mbpp,mbpp_9,3,True,80,236,316,3.1661,
harmonet_v2,mbpp,mbpp_11,1,True,76,192,268,3.1113,
harmonet_v2,mbpp,mbpp_11,2,True,76,192,268,2.8151,
harmonet_v2,mbpp,mbpp_11,3,True,76,169,245,3.0285,
harmonet_v2,mbpp,mbpp_12,1,True,122,55,177,1.6163,
harmonet_v2,mbpp,mbpp_12,2,True,122,55,177,1.7497,
harmonet_v2,mbpp,mbpp_12,3,True,122,55,177,1.4869,
harmonet_v2,mbpp,mbpp_14,1,True,70,62,132,1.4105,
