task_id,entry_point,base_pass,plus_only_pass,both_pass,outcome,visible_outcome,n_base,n_plus_only,n_dup_removed,prompt_tokens,completion_tokens,token_source,cost_usd,wall_ms,extraction,hidden_exposed,trace_path,candidate_code
Mbpp/63,max_difference,True,True,True,pass,pass,3,121,0,140,129,measured,,1673,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_63.json,"def max_difference(tuple_list):
    """"""
    Find the maximum difference between available pairs in the given tuple list.
    
    Args:
        tuple_list: A list of tuples containing pairs of numbers
        
    Returns:
        The maximum difference between any two numbers in any pair
    """"""
    max_diff = 0
    for pair in tuple_list:
        diff = abs(pair[0] - pair[1])
        max_diff = max(max_diff, diff)
    return max_diff"
Mbpp/68,is_Monotonic,True,True,True,pass,pass,3,102,0,128,177,measured,,1426,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_68.json,"def is_Monotonic(arr):
    """"""
    Check whether the given array is monotonic or not.
    An array is monotonic if it is either entirely non-increasing or non-decreasing.
    """"""
    if len(arr) <= 1:
        return True
    
    # Check if array is non-decreasing
    is_increasing = all(arr[i] <= arr[i + 1] for i in range(len(arr) - 1))
    
    # Check if array is non-increasing
    is_decreasing = all(arr[i] >= arr[i + 1] for i in range(len(arr) - 1))
    
    return is_increasing or is_decreasing"
Mbpp/87,merge_dictionaries_three,True,True,True,pass,pass,3,108,0,215,91,measured,,973,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_87.json,"def merge_dictionaries_three(dict1, dict2, dict3):
    """"""
    Merge three dictionaries into a single dictionary.
    Later dictionaries override earlier ones for duplicate keys.
    """"""
    result = {}
    result.update(dict1)
    result.update(dict2)
    result.update(dict3)
    return result"
Mbpp/90,len_log,True,True,True,pass,pass,3,103,0,120,29,measured,,755,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_90.json,"def len_log(words):
    return max(len(word) for word in words)"
Mbpp/93,power,True,True,True,pass,pass,3,108,2,117,21,measured,,688,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_93.json,"def power(a, b):
    return a ** b"
Mbpp/96,divisor,True,True,True,pass,pass,3,100,1,114,76,measured,,922,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_96.json,"def divisor(n):
    count = 0
    for i in range(1, int(n**0.5) + 1):
        if n % i == 0:
            count += 1
            if i != n // i:
                count += 1
    return count"
Mbpp/109,odd_Equivalent,True,False,False,fail,pass,3,102,0,130,265,measured,,2995,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_109.json,"def odd_Equivalent(s, n):
    """"""
    Find the number of numbers with an odd value when rotating a binary string n times.
    
    A binary string has an odd value if the least significant bit (rightmost bit) is 1.
    We need to count how many rotations result in a binary number with odd value.
    
    Args:
        s: A binary string
        n: Number of rotations to check
    
    Returns:
        Count of rotations that result in odd values
    """"""
    count = 0
    length = len(s)
    
    # Check each rotation from 0 to n-1
    for i in range(n):
        # Rotate the string by i positions to the right
        # Right rotation by i: take last i characters and move to front
        rotated = s[-i:] + s[:-i] if i > 0 else s
        
        # A binary number is odd if its least significant bit (rightmost) is 1
        if rotated[-1] == '1':
            count += 1
    
    return count"
Mbpp/113,check_integer,True,False,False,fail,pass,3,121,0,113,38,measured,,950,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_113.json,"def check_integer(s):
    try:
        int(s)
        return True
    except ValueError:
        return False"
Mbpp/124,angle_complex,False,False,False,fail,fail,3,111,5,136,116,measured,,1712,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_124.json,"import math
import cmath

def angle_complex(real, imag):
    """"""
    Get the angle of a complex number.
    
    Args:
        real: The real part of the complex number
        imag: The imaginary part of the complex number
    
    Returns:
        The angle (argument) of the complex number in radians
    """"""
    complex_num = complex(real, imag)
    return cmath.phase(complex_num)"
Mbpp/141,pancake_sort,True,True,True,pass,pass,3,108,0,137,256,measured,,2843,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_141.json,"def pancake_sort(arr):
    """"""
    Sort a list using pancake sort algorithm.
    Pancake sort works by repeatedly flipping the unsorted portion of the array.
    """"""
    def flip(arr, k):
        """"""Flip the first k elements of the array""""""
        arr[:k] = arr[:k][::-1]
    
    n = len(arr)
    
    # Start from the end and move towards the beginning
    for i in range(n, 1, -1):
        # Find the index of the maximum element in arr[0:i]
        max_idx = arr[:i].index(max(arr[:i]))
        
        # If the maximum element is not already at the end of current subarray
        if max_idx != i - 1:
            # Flip to bring max element to the front
            if max_idx != 0:
                flip(arr, max_idx + 1)
            # Flip to bring max element to its correct position
            flip(arr, i)
    
    return arr"
Mbpp/160,find_solution,False,False,False,fail,fail,3,103,0,138,302,measured,,2826,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_160.json,"def find_solution(a, b, n):
    """"""
    Find integers x and y such that ax + by = n.
    Returns (x, y) as a tuple, or None if no solution exists.
    """"""
    from math import gcd
    
    # Check if solution exists using Bezout's identity
    g = gcd(a, b)
    if n % g != 0:
        return None
    
    # Use extended Euclidean algorithm to find x0, y0 such that ax0 + by0 = gcd(a, b)
    def extended_gcd(a, b):
        if b == 0:
            return a, 1, 0
        else:
            g, x1, y1 = extended_gcd(b, a % b)
            x = y1
            y = x1 - (a // b) * y1
            return g, x, y
    
    g, x0, y0 = extended_gcd(a, b)
    
    # Scale the solution to satisfy ax + by = n
    x = x0 * (n // g)
    y = y0 * (n // g)
    
    return (x, y)"
Mbpp/165,count_char_position,True,True,True,pass,pass,3,107,0,140,333,measured,,3138,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_165.json,"def count_char_position(s):
    """"""
    Count the number of characters in a string that occur at the same position 
    in the string as in the English alphabet (case insensitive).
    
    For example, in ""xbcefg"":
    - Position 0: 'x' (letter x is at position 23 in alphabet, not 0) - no match
    - Position 1: 'b' (letter b is at position 1 in alphabet) - match
    - Position 2: 'c' (letter c is at position 2 in alphabet) - match
    - Position 3: 'e' (letter e is at position 4 in alphabet, not 3) - no match
    - Position 4: 'f' (letter f is at position 5 in alphabet, not 4) - no match
    - Position 5: 'g' (letter g is at position 6 in alphabet, not 5) - no match
    Result: 2
    """"""
    count = 0
    for i, char in enumerate(s):
        if char.isalpha():
            # Get position in alphabet (0-indexed)
            alphabet_position = ord(char.lower()) - ord('a')
            # Check if it matches the position in the string
            if alphabet_position == i:
                count += 1
    return count"
Mbpp/170,sum_range_list,True,True,True,pass,pass,3,107,0,152,171,measured,,2212,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_170.json,"def sum_range_list(lst, start_index, end_index):
    """"""
    Find the sum of numbers in a list within a range specified by two indices.
    
    Args:
        lst: The input list
        start_index: The starting index (inclusive)
        end_index: The ending index (inclusive)
    
    Returns:
        The sum of elements from start_index to end_index (inclusive)
    """"""
    return sum(lst[start_index:end_index + 1])


# Test
assert sum_range_list([2,1,5,6,8,3,4,9,10,11,8,12], 8, 10) == 29"
Mbpp/227,min_of_three,True,True,True,pass,pass,3,105,0,116,32,measured,,806,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_227.json,"def min_of_three(a, b, c):
    return min(a, b, c)"
